Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
2‑Feb‑2018,Davis Cup WG R1: AUS vs GER,Hard,RR,14,5,Alexander Zverev [GER] d. Kyrgios,6-2 7-6(3) 6-2,0.71,16.30%,7.50%,60.00%,70.80%,40.60%,3月7日,1:47
15‑Jan‑2018,Australian Open,Hard,R16,17,3,(3)Grigor Dimitrov [BUL] d. (17)Kyrgios,7-6(3) 7-6(4) 4-6 7-6(4),1,23.20%,4.50%,65.20%,79.20%,50.00%,7月9日,3:26
15‑Jan‑2018,Australian Open,Hard,R32,17,15,(17)Kyrgios d. (15)Jo Wilfried Tsonga [FRA],7-6(5) 4-6 7-6(6) 7-6(5),0.93,19.20%,2.10%,65.80%,79.20%,64.00%,3月5日,3:17
15‑Jan‑2018,Australian Open,Hard,R64,17,65,(17)Kyrgios d. Viktor Troicki [SRB],7-5 6-4 7-6(2),1.48,17.50%,3.10%,71.10%,84.10%,50.00%,1月2日,2:12
15‑Jan‑2018,Australian Open,Hard,R128,17,98,(17)Kyrgios d. Rogerio Dutra Silva [BRA],6-1 6-2 6-4,1.64,20.30%,1.30%,73.40%,75.90%,61.90%,2月2日,1:27
1‑Jan‑2018,Brisbane,Hard,F,21,47,(3)Kyrgios d. Ryan Harrison [USA],6-4 6-2,1.66,30.40%,1.80%,71.40%,82.50%,56.30%,5月5日,1:13
1‑Jan‑2018,Brisbane,Hard,SF,21,3,(3)Kyrgios d. (1)Grigor Dimitrov [BUL],3-6 6-1 6-4,1.26,26.40%,2.80%,69.40%,82.00%,50.00%,1月2日,1:33
1‑Jan‑2018,Brisbane,Hard,QF,21,38,(3)Kyrgios d. Alexandr Dolgopolov [UKR],1-6 6-3 6-4,1.2,26.10%,7.20%,62.30%,88.40%,42.30%,1月3日,1:30
1‑Jan‑2018,Brisbane,Hard,R16,21,76,(3)Kyrgios d. Matthew Ebden [AUS],6-7(3) 7-6(5) 6-2,1.14,13.00%,2.00%,62.00%,85.50%,55.30%,2月2日,2:12
16‑Oct‑2017,Antwerp,Hard,R16,20,98,Ruben Bemelmans [BEL] d. (3)Kyrgios,6-7(3) 6-3 6-3,0.86,20.50%,8.00%,61.40%,70.40%,52.90%,3月7日,1:48
